排名,电影名,链接,演员,评分,上映时间
1,霸王别姬,https://maoyan.com/films/1203,主演：张国荣，张丰毅，巩俐,9.6,上映时间：1993-01-01
2,肖申克的救赎,https://maoyan.com/films/1297,主演：蒂姆·罗宾斯，摩根·弗里曼，鲍勃·冈顿,9.5,上映时间：1994-10-14(美国)
3,罗马假日,https://maoyan.com/films/2641,主演：格利高里·派克，奥黛丽·赫本，埃迪·艾伯特,9.1,上映时间：1953-09-02(美国)
4,这个杀手不太冷,https://maoyan.com/films/4055,主演：让·雷诺，加里·奥德曼，娜塔莉·波特曼,9.5,上映时间：1994-09-14(法国)
5,教父,https://maoyan.com/films/1247,主演：马龙·白兰度，阿尔·帕西诺，詹姆斯·肯恩,9.3,上映时间：1972-03-24(美国)
6,泰坦尼克号,https://maoyan.com/films/267,主演：莱昂纳多·迪卡普里奥，凯特·温丝莱特，比利·赞恩,9.5,上映时间：1998-04-03
7,唐伯虎点秋香,https://maoyan.com/films/837,主演：周星驰，巩俐，郑佩佩,9.2,上映时间：1993-07-01(中国香港)
8,千与千寻,https://maoyan.com/films/1212,主演：柊瑠美，入野自由，夏木真理,9.3,上映时间：2001-07-20(日本)
9,魂断蓝桥,https://maoyan.com/films/2760,主演：费雯·丽，罗伯特·泰勒，露塞尔·沃特森,9.2,上映时间：1940-05-17(美国)
10,乱世佳人,https://maoyan.com/films/7431,主演：费雯·丽，克拉克·盖博，奥利维娅·德哈维兰,9.1,上映时间：1939-12-15(美国)
11,天空之城,https://maoyan.com/films/1228,主演：寺田农，鹫尾真知子，龟山助清,9.1,上映时间：1992
12,喜剧之王,https://maoyan.com/films/9025,主演：周星驰，莫文蔚，张柏芝,9.2,上映时间：1999-02-13(中国香港)
13,辛德勒的名单,https://maoyan.com/films/3667,主演：连姆·尼森，拉尔夫·费因斯，本·金斯利,9.2,上映时间：1993-12-15(美国)
14,大闹天宫,https://maoyan.com/films/14556,主演：邱岳峰，毕克，富润生,9.0,上映时间：1965-12-31
15,音乐之声,https://maoyan.com/films/3103,主演：朱莉·安德鲁斯，克里斯托弗·普卢默，埃琳诺·帕克,9.0,上映时间：1965-03-02(美国)
16,剪刀手爱德华,https://maoyan.com/films/513,主演：约翰尼·德普，薇诺娜·瑞德，黛安·韦斯特,8.8,上映时间：1990-12-06(美国)
17,春光乍泄,https://maoyan.com/films/1597,主演：张国荣，梁朝伟，张震,9.2,上映时间：1997-05-30(中国香港)
18,美丽人生,https://maoyan.com/films/1303,主演：罗伯托·贝尼尼，尼可莱塔·布拉斯基，乔治·坎塔里尼,9.3,上映时间：1997-12-20(意大利)
19,海上钢琴师,https://maoyan.com/films/1292,主演：蒂姆·罗斯，普路特·泰勒·文斯，比尔·努恩,9.2,上映时间：1998-10-28(意大利)
