华北制药股份有限公司（制药总厂）,tvsitet1,s130100%5C130101%26130101104397700
河北铬盐化工有限公司,tvsitet2,s130100%5C130101%26130101104718033
河北海晶再生资源开发有限公司,tvsitet3,s130100%5C130101%26130101553328014
青岛啤酒（石家庄）有限公司,tvsitet4,s130100%5C130101%26130101556075630
石家庄皓轩环保科技有限公司,tvsitet5,s130100%5C130101%26130101559055598
石家庄绿色再生资源有限公司,tvsitet6,s130100%5C130101%26130101586931856
石家庄龙腾环保服务有限公司,tvsitet7,s130100%5C130101%26130101601062848
河北奥欣电源有限公司,tvsitet8,s130100%5C130101%26130101682767515
石家庄翔宇环保技术服务中心,tvsitet9,s130100%5C130101%26130101682775208
石家庄市广利纸业有限公司,tvsitet10,s130100%5C130101%2613010171318636X
晋州成光电源有限公司,tvsitet11,s130100%5C130101%26130101737398295
河北中润生态环保有限公司,tvsitet12,s130100%5C130101%26130101760317983
石家庄工大生物制品有限公司,tvsitet13,s130100%5C130101%26130101772773660
赵县污水处理厂二期,tvsitet14,s130100%5C130101%2613010178278788X01
石家庄钢铁有限责任公司,tvsitet15,s130100%5C130101%2613010210436578-4
华北制药股份有限公司,tvsitet16,s130100%5C130102%2613010210439770-0
华北制药威可达有限公司,tvsitet17,s130100%5C130102%2613010260100034-8
河北维尔康制药有限公司,tvsitet18,s130100%5C130102%2613010260100035-6
石药集团中诺药业（石家庄）有限公司中润生产区,tvsitet19,s130100%5C130102%26130102601908022
华电水务石家庄有限公司,tvsitet20,s130100%5C130102%2613010266108324-5
河北华电石家庄热电有限公司,tvsitet21,s130100%5C130102%2613010271318764-5
石家庄东方热电股份有限公司热电三厂,tvsitet22,s130100%5C130102%2613010272167893-8
石家庄华曙制药集团有限公司,tvsitet23,s130100%5C130102%2613010273739183-5
石家庄市桥西污水处理厂,tvsitet24,s130100%5C130104%2613010440174956-5
石家庄市桥西污水处理厂（二期）,tvsitet25,s130100%5C130104%2613010440174956-5(01)
石家庄东方热电股份有限公司热电二厂,tvsitet26,s130100%5C130105%2613010570071412-7
河北鑫跃焦化有限公司(烧结),tvsitet27,s130100%5C130107%261301017540148391
石家庄市矿区绿洁污水处理有限公司,tvsitet28,s130100%5C130107%2613010768824658-5
河北矿峰水泥有限公司,tvsitet29,s130100%5C130107%2613010769466407-0（）
石家庄新世纪煤化实业集团有限公司,tvsitet30,s130100%5C130107%2613010770095934-3
石家庄高新技术产业开发区热电煤气公司,tvsitet31,s130100%5C130108%2613010823601601-7
石药集团维生药业（石家庄）有限公司,tvsitet32,s130100%5C130108%2613010860100213-2
石家庄高新技术产业开发区污水处理厂,tvsitet33,s130100%5C130108%2613010873438942-2
井陉县污水处理厂,tvsitet34,s130100%5C130121%2613012168277135-4
华能国际电力股份有限公司上安电厂,tvsitet35,s130100%5C130121%26130121HB006587-9(01)
河北金源化工股份有限公司,tvsitet36,s130100%5C130123%2613012310436552-2
石家庄诚峰热电有限公司,tvsitet37,s130100%5C130123%2613012360190565-7
正定县污水处理厂,tvsitet38,s130100%5C130123%2613012374845737-7
华北制药集团华栾有限公司,tvsitet39,s130100%5C130124%2613012410471777-8
河北圣雪大成制药有限责任公司,tvsitet40,s130100%5C130124%2613012410471856-X
石家庄市桥东污水治理工程筹建处,tvsitet41,s130100%5C130124%2613012440489997-2
石家庄装备制造基地绿源污水处理有限公司,tvsitet42,s130100%5C130124%2613012468430540-2
河北宏源热电有限责任公司,tvsitet43,s130100%5C130124%2613012471314538-1
石家庄新宇三阳实业公司,tvsitet44,s130100%5C130124%2613012471838366-1
河北灵达环保能源有限责任公司,tvsitet45,s130100%5C130124%2613012472524233-0
栾城县污水处理厂,tvsitet46,s130100%5C130124%2613012474542962-9
神威药业集团有限公司,tvsitet47,s130100%5C130124%2613012475751841-8
石药集团新诺威制药股份有限公司,tvsitet48,s130100%5C130124%2613012478701970-8
河北华电石家庄裕华热电有限公司,tvsitet49,s130100%5C130124%2613012479138065-1
行唐县玉城污水处理厂,tvsitet50,s130100%5C130125%2613012555445633-3
行唐县鸿鑫食品有限公司,tvsitet51,s130100%5C130125%2613012567416231-3
石家庄玉晶玻璃有限公司,tvsitet52,s130100%5C130125%2613012568822449-0
石家庄明旺乳业有限公司,tvsitet53,s130100%5C130125%2613012578980846-0
灵寿县污水处理厂,tvsitet54,s130100%5C130126%2613012669585572-5
灵寿冀东水泥有限责任公司,tvsitet55,s130100%5C130126%2613012669585760-8
石家庄正元化肥有限公司,tvsitet56,s130100%5C130126%2613012670082593-5
河北名世锦簇纺织有限公司,tvsitet57,s130100%5C130126%2613012675029747-2
高邑县凤城污水处理厂,tvsitet58,s130100%5C130127%2613012775750406-7
深泽县板纸厂,tvsitet59,s130100%5C130128%2613012810783590-5
深泽县深龙发毛巾制品有限公司,tvsitet60,s130100%5C130128%2613012856737070-7
