华北制药股份有限公司（制药总厂）,tvsitet1
河北铬盐化工有限公司,tvsitet2
河北海晶再生资源开发有限公司,tvsitet3
青岛啤酒（石家庄）有限公司,tvsitet4
石家庄皓轩环保科技有限公司,tvsitet5
石家庄绿色再生资源有限公司,tvsitet6
石家庄龙腾环保服务有限公司,tvsitet7
河北奥欣电源有限公司,tvsitet8
石家庄翔宇环保技术服务中心,tvsitet9
石家庄市广利纸业有限公司,tvsitet10
晋州成光电源有限公司,tvsitet11
河北中润生态环保有限公司,tvsitet12
石家庄工大生物制品有限公司,tvsitet13
赵县污水处理厂二期,tvsitet14
石家庄钢铁有限责任公司,tvsitet15
华北制药股份有限公司,tvsitet16
华北制药威可达有限公司,tvsitet17
河北维尔康制药有限公司,tvsitet18
石药集团中诺药业（石家庄）有限公司中润生产区,tvsitet19
华电水务石家庄有限公司,tvsitet20
河北华电石家庄热电有限公司,tvsitet21
石家庄东方热电股份有限公司热电三厂,tvsitet22
石家庄华曙制药集团有限公司,tvsitet23
石家庄市桥西污水处理厂,tvsitet24
石家庄市桥西污水处理厂（二期）,tvsitet25
石家庄东方热电股份有限公司热电二厂,tvsitet26
河北鑫跃焦化有限公司(烧结),tvsitet27
石家庄市矿区绿洁污水处理有限公司,tvsitet28
河北矿峰水泥有限公司,tvsitet29
石家庄新世纪煤化实业集团有限公司,tvsitet30
石家庄高新技术产业开发区热电煤气公司,tvsitet31
石药集团维生药业（石家庄）有限公司,tvsitet32
石家庄高新技术产业开发区污水处理厂,tvsitet33
井陉县污水处理厂,tvsitet34
华能国际电力股份有限公司上安电厂,tvsitet35
河北金源化工股份有限公司,tvsitet36
石家庄诚峰热电有限公司,tvsitet37
正定县污水处理厂,tvsitet38
华北制药集团华栾有限公司,tvsitet39
河北圣雪大成制药有限责任公司,tvsitet40
石家庄市桥东污水治理工程筹建处,tvsitet41
石家庄装备制造基地绿源污水处理有限公司,tvsitet42
河北宏源热电有限责任公司,tvsitet43
石家庄新宇三阳实业公司,tvsitet44
河北灵达环保能源有限责任公司,tvsitet45
栾城县污水处理厂,tvsitet46
神威药业集团有限公司,tvsitet47
石药集团新诺威制药股份有限公司,tvsitet48
河北华电石家庄裕华热电有限公司,tvsitet49
行唐县玉城污水处理厂,tvsitet50
行唐县鸿鑫食品有限公司,tvsitet51
石家庄玉晶玻璃有限公司,tvsitet52
石家庄明旺乳业有限公司,tvsitet53
灵寿县污水处理厂,tvsitet54
灵寿冀东水泥有限责任公司,tvsitet55
石家庄正元化肥有限公司,tvsitet56
河北名世锦簇纺织有限公司,tvsitet57
高邑县凤城污水处理厂,tvsitet58
深泽县板纸厂,tvsitet59
深泽县深龙发毛巾制品有限公司,tvsitet60
深泽县嘉诚水质净化有限公司,tvsitet61
石家庄深玉纸业有限公司,tvsitet62
赞皇县皇明污水处理厂,tvsitet63
赞皇金隅水泥有限公司,tvsitet64
河北齐盛皮革股份有限公司,tvsitet65
无极县长业水务有限公司,tvsitet66
石家庄市飞宏化工有限公司,tvsitet67
石家庄市捷宇通商贸有限公司,tvsitet68
石家庄市福瑞得皮革工业有限公司,tvsitet69
河北敬业化工股份有限公司,tvsitet70
敬业钢铁有限公司,tvsitet71
