企业名称,宣讲地点,宣讲时间,宣讲场地
深圳市天音科技发展有限公司,桂林理工大学,2018-12-12,3332
深圳市乐有家控股集团有限公司,桂林理工大学,2018-12-12,3332
森思达教育咨询（北京）有限公司,桂林理工大学,2018-12-12,在线视频宣讲
阳光城物业服务（福建）有限公司南宁分公司,桂林理工大学,2018-11-08,3332
平安普惠投资咨询有限公司佛山岭南分公司,桂林理工大学,2018-10-22,3332
人本集团有限公司,桂林理工大学,2018-10-22,3332
东莞捷通达电讯有限公司,桂林理工大学,2018-10-22,3332
珠海市新德汇信息技术有限公司,桂林理工大学,2018-10-21,3332
中联世纪建设集团有限公司,桂林理工大学,2018-10-20,3332
梅州市敏捷建筑工程有限公司,桂林理工大学,2018-10-19,3332
百胜餐饮（深圳）有限公司,桂林理工大学,2018-10-18,3332
三只松鼠股份有限公司,桂林理工大学,2018-10-18,3332
桂林天曲航天生物技术开发有限公司,桂林理工大学,2018-10-17,3332
广西超源电力有限公司,桂林理工大学,2018-10-15,3332
深圳市火王燃器具有限公司中山分公司,桂林理工大学,2018-10-15,3332
东莞市德普特电子有限公司,桂林理工大学,2018-10-13,3332
东莞市德普特电子有限公司,桂林理工大学,2018-10-13,3332
深圳中天精装股份有限公司,桂林理工大学,2018-10-11,3332
广东壹号食品股份有限公司,桂林理工大学,2018-10-10,3332
深圳市爱乐无忧电子有限公司,桂林理工大学,2018-10-09,3332
