AAV,65242,2.415
ABT,100,8.36
ABX,243875,17.175
AC,43112,28.86
ACB,264103,7.495
ACO.X,28108,40.75
AD,10750,18.54
AEM,36648,47.235
AFN,2050,53.455
AGI,70450,4.455
AI,300,13.33
AIF,7799,26.225
AIM,230,3.455
ALA,84023,14.625
AP.UN,13165,45.05
APHA,73755,7.665
AQN,109476,14.115
ARE,9376,18.455
ARX,40318,9.185
ASR,71494,2.095
ATA,13467,17.5
ATD.B,90264,69.3
ATH,11259,1.155
ATZ,1144,18.27
AX.UN,36242,9.805
BAD,9999,31.915
BAM.A,119327,58.005
BB,82261,11.635
BBU.UN,8953,48.225
BCB,31521,19.96
BCE,181496,56.565
BCI,7,31.7
BEI.UN,5713,41.62
BEP.UN,29214,37.86
BHC,79699,33.19
BIP.UN,58525,51.265
BIR,72312,3.515
BL.UN,100,9.39
BLX,14649,17.715
BMO,137955,98.675
BNE,549,7.815
BNP,1000,1.225
BNS,300004,72.335
BPF.UN,100,16.24
BPY.UN,64311,23.19
BTB.UN,200,4.525
BTE,131200,2.685
BTO,135152,3.305
BYD.UN,4573,118.565
CAE,87220,26.735
CAR.UN,25359,46.035
CAS,7351,12.64
CCA,2549,63.97
CCL.B,19332,53.92
CCO,71849,15.985
CEU,45518,3.115
CFP,6122,18.18
CG,25456,5.345
CGG,200,1.815
CGO,300,62.16
CGX,3731,25.16
CHE.UN,27030,11.79
CHP.UN,55271,12.175
CHR,32048,6.385
CIA,400,1.225
CIGI,9510,87.6
CIX,145395,19.725
CJR.B,7310,4.905
CJT,32,81.43
CLS,12277,13.275
CM,148309,110.615
CMG,16923,6.805
CNE,200,4.215
CNL,13900,2.125
CNQ,101307,36.565
CNR,73106,112.77
CP,17224,276.185
CPX,20229,27.675
CR,13982,1.175
CRON,1060,13.465
CRR.UN,24182,12.885
CRT.UN,11800,12.135
CSH.UN,52212,15.035
CSU,1737,928.5
CU,34547,31.74
CUF.UN,47440,10.535
CVE,78835,11.025
CWB,23122,28.775
D.UN,9268,23.75
DC.A,100,1.21
DGC,64333,10.195
DGS,100,4.755
DHX,1400,3.555
DII.A,70,18.77
DII.B,5449,18.255
DIR.UN,14800,9.905
DIV,100,2.805
DOL,54178,35.21
DOO,1687,44.465
DPM,2460,3.455
DR,2385,16.005
DRG.UN,49677,13.365
DSG,16227,39.15
ECA,181590,9.355
ECN,73350,3.555
EDV,14348,16.59
EF.UN,100,7.92
EFN,90761,7.215
EFX,21035,16.535
EIF,6822,30.62
EIT.UN,200,11.145
ELD,265467,0.755
EMA,26630,44.555
