symbol,size,price
UEX,500,0.19
PLI,500,0.408
TV,6000,0.488
ELD,265467,0.755
DML,1000,0.755
NMX,2000,0.765
BXE,100,1.015
NGD,120893,1.025
ATH,11259,1.155
CR,13982,1.175
AOI,300,1.195
DC.A,100,1.21
BNP,1000,1.225
CIA,400,1.225
AR,300,1.245
TCW,76102,1.315
GUY,34778,1.415
QTRH,100,1.415
PG,100,1.495
LMC,376,1.525
CWL,100,1.54
SGY,5445,1.635
TDG,1900,1.675
CGG,200,1.815
LUC,69036,1.825
WEF,73629,1.89
ASR,71494,2.095
CNL,13900,2.125
HNL,200,2.185
BBD.B,115001,2.275
BBD.A,600,2.31
TVE,55871,2.375
AAV,65242,2.415
SMF,34953,2.425
TRQ,314042,2.515
OSK,100,2.515
FRII,200,2.64
BTE,131200,2.685
SVM,4700,2.695
CFW,206,2.735
STEP,100,2.775
SII,500,2.795
DIV,100,2.805
IVN,94508,2.825
YRI,144485,2.845
YGR,100,2.885
TGL,100,2.895
NXE,63273,2.905
CJ,3600,2.945
SMT,25,3.035
PD,60842,3.105
CEU,45518,3.115
TGOD,2644,3.185
BTO,135152,3.305
AIM,230,3.455
DPM,2460,3.455
BIR,72312,3.515
DHX,1400,3.555
ECN,73350,3.555
WDO,1167,3.555
GTE,111733,3.635
K,497399,3.725
LGO,13404,3.745
VLE,100,3.75
OGC,123041,3.835
GSC,115,3.87
BLDP,200,3.895
NVA,64686,3.965
PLZ.UN,500,4.095
IMG,107455,4.185
CNE,200,4.215
FVI,20339,4.335
NEPT,101,4.335
CPG,412986,4.345
AGI,70450,4.455
EFR,100,4.495
REAL,100,4.5
BTB.UN,200,4.525
KEL,34548,4.525
DGS,100,4.755
THO,44898,4.755
ROOT,7300,4.78
U,200,4.865
CWX,100,4.875
CJR.B,7310,4.905
WCP,70216,4.935
NG,51379,4.965
AGF.B,1326,4.975
ESI,35467,5.075
LAC,200,5.16
TOG,32531,5.165
KWH.UN,200,5.185
VFF,100,5.325
CG,25456,5.345
SSL,33485,5.625
JE,27301,5.705
RSI,3083,5.735
HEXO,10481,5.815
TNT.UN,400,5.905
NSU,66693,5.965
KEW,10,6.055
SOY,700,6.135
CHR,32048,6.385
LUN,273384,6.415
FR,9051,6.475
CF,100,6.625
MBN,500,6.655
BDT,300,6.665
HOT.UN,200,6.705
EXE,14263,6.745
CMG,16923,6.805
HLF,100,6.835
DRT,7500,6.85
DRM,100,7.035
SOT.UN,400,7.045
SES,36666,7.075
TA,27384,7.095
CLIQ,200,7.13
EFN,90761,7.215
HBM,36785,7.265
ACB,264103,7.495
APHA,73755,7.665
RAY.A,200,7.68
BNE,549,7.815
POU,15354,7.855
TRST,648,7.885
TEV,200,7.915
EF.UN,100,7.92
ABT,100,8.36
TH,100,8.455
GUD,25383,8.575
MEG,35669,8.595
FTN,100,8.63
FRU,15680,8.88
MAG,19238,8.975
HBC,20146,9.13
TF,300,9.15
PFB,10,9.175
ARX,40318,9.185
PZA,200,9.195
SMU.UN,5754,9.285
ECA,181590,9.355
PVG,45087,9.355
BL.UN,100,9.39
GEC.UN,100,9.625
APR.UN,500,9.65
AX.UN,36242,9.805
PIF,100,9.86
DIR.UN,14800,9.905
OR,26885,9.975
DGC,64333,10.195
TCN,30048,10.195
PEY,41590,10.215
VII,55142,10.215
NWH.UN,11891,10.375
SPB,34830,10.405
ERO,100,10.495
CUF.UN,47440,10.535
TXG,39675,10.705
GS,200,10.705
CVE,78835,11.025
MRE,12230,11.055
EIT.UN,200,11.145
RNW,21983,11.155
FSZ,3700,11.445
BB,82261,11.635
CHE.UN,27030,11.79
HDI,400,12.01
CRT.UN,11800,12.135
CHP.UN,55271,12.175
SUM,500,12.3
MTL,19603,12.355
ACQ,300,12.395
G,320521,12.445
INE,24635,12.525
CAS,7351,12.64
NOA,100,12.785
WIR.U,1010,12.82
CRR.UN,24182,12.885
ALS,300,12.94
IIP.UN,30039,12.955
FEC,300,13.245
CLS,12277,13.275
ERF,51148,13.315
AI,300,13.33
DRG.UN,49677,13.365
CRON,1060,13.465
ADW.A,300,13.535
FM,113485,13.605
SIS,1432,13.71
MKP,100,14.085
AQN,109476,14.115
HRX,500,14.13
SSRM,29533,14.235
ALA,84023,14.625
CSH.UN,52212,15.035
IFP,9887,15.28
KML,26015,15.505
AGT,200,15.68
SEA,500,15.72
ET,572,15.81
CCO,71849,15.985
DR,2385,16.005
BPF.UN,100,16.24
KMP.UN,22253,16.29
EFX,21035,16.535
EDV,14348,16.59
SIA,15324,16.68
PXT,34560,16.705
HSE,232018,16.845
ITP,9914,17.0
ZYME,200,17.085
ABX,243875,17.175
ATA,13467,17.5
PAAS,20101,17.505
HCG,20882,17.665
BLX,14649,17.715
PSK,6373,17.95
CFP,6122,18.18
DII.B,5449,18.255
ATZ,1144,18.27
ARE,9376,18.455
AD,10750,18.54
DII.A,70,18.77
TOU,89223,18.905
MI.UN,500,19.085
CFX,6965,19.2
WJX,1000,19.25
FCR,53922,19.595
GEI,50052,19.655
PSI,16950,19.66
CIX,145395,19.725
H,152326,19.785
BCB,31521,19.96
VNR,1600,20.06
STLC,2249,20.07
SCL,15138,20.11
TCL.A,20031,20.24
WJA,63775,20.525
HR.UN,105736,20.84
WPM,187715,21.25
IPL,6094,21.255
UNS,10664,21.55
SW,7784,21.81
MAXR,13402,21.855
MFC,359778,21.955
PBL,30,22.115
JWEL,600,22.555
NPI,23615,22.57
GCG,60,22.745
GCG.A,20,22.78
RUS,16112,23.11
PLC,207,23.135
ZZZ,30534,23.18
BPY.UN,64311,23.19
WTE,10211,23.645
D.UN,9268,23.75
REI.UN,146208,24.455
WFC,300,24.62
SJR.B,55763,24.865
CGX,3731,25.16
RCH,15425,25.31
EMP.A,73890,25.45
TSGI,79648,25.985
POW,39624,26.015
NVU.UN,14572,26.065
AIF,7799,26.225
MSI,13495,26.365
RECP,100,26.42
CAE,87220,26.735
LIF,14097,26.83
FTT,41926,27.28
PWF,83336,27.495
CPX,20229,27.675
TECK.B,17470,28.12
FN,200,28.13
QBR.B,34510,28.355
KL,6991,28.715
CWB,23122,28.775
AC,43112,28.86
KEY,72937,28.975
NWC,9585,29.205
MFI,16854,29.23
GWO,6683,29.91
EIF,6822,30.62
SRU.UN,33305,31.22
STN,17061,31.42
BCI,7,31.7
CU,34547,31.74
BAD,9999,31.915
BHC,79699,33.19
VET,63575,33.455
IGM,7492,34.705
DOL,54178,35.21
KBL,64,35.375
CNQ,101307,36.565
OSB,10237,37.025
NFI,12249,37.32
BEP.UN,29214,37.86
IMO,23476,38.015
PKI,37859,38.19
DSG,16227,39.15
SJ,12369,39.635
SAP,38936,40.425
ACO.X,28108,40.75
TOY,5481,41.045
LB,9595,41.315
BEI.UN,5713,41.62
SU,334983,42.815
TFII,12418,43.25
MIC,5147,43.69
WEED,17553,44.015
ENB,417788,44.065
GIL,51325,44.415
DOO,1687,44.465
EMA,26630,44.555
AP.UN,13165,45.05
PPL,121881,45.085
RBA,23475,45.535
OTEX,57128,45.655
MRU,16071,45.68
CAR.UN,25359,46.035
WPK,5963,46.655
FTS,125817,46.745
AEM,36648,47.235
T,111128,47.475
IAG,9492,48.0
BBU.UN,8953,48.225
SNC,28447,48.545
LNR,10560,48.585
SLF,103934,48.915
BIP.UN,58525,51.265
GC,10475,51.525
AFN,2050,53.455
CCL.B,19332,53.92
GRT.UN,10978,54.475
TRP,254405,55.245
BCE,181496,56.565
BAM.A,119327,58.005
UFS,2100,58.43
TIH,17717,58.445
NA,107215,60.235
L,22436,61.41
CGO,300,62.16
CCA,2549,63.97
WSP,11518,64.455
MTY,5068,65.675
TRI,72656,65.74
MG,18763,66.97
ENGH,7854,68.165
NTR,5534,69.035
ATD.B,90264,69.3
EQB,719,70.56
WFT,9330,70.68
RCI.B,10383,70.88
BNS,300004,72.335
TD,406178,72.765
KXS,10892,74.03
MX,20782,75.545
QSR,56899,75.76
X,8668,78.725
PBH,9468,79.16
CJT,32,81.43
ONEX,4764,81.54
GIB.A,58453,84.85
CIGI,9510,87.6
FNV,41268,91.68
GOOS,73051,92.375
RY,310897,97.115
WN,9380,97.125
BMO,137955,98.675
FSV,6972,102.005
WCN,28288,103.145
IFC,8212,104.535
CM,148309,110.615
CNR,73106,112.77
BYD.UN,4573,118.565
CTC.A,12877,149.83
MRC,400,179.625
LAS.A,12,203.505
SHOP,21118,207.095
CP,17224,276.185
FFH,3207,638.985
CSU,1737,928.5
